timestamp,distance_km,base_duration_min,traffic_speed_kmh,free_flow_speed_kmh,congestion_ratio,hour,day_of_week,weekend,rainfall_mm,visibility_km,temperature_c,incident_count,incident_severity,road_type_encoded,vehicle_type_encoded,route_length_km,historical_mean_time,historical_std_time,actual_travel_time,delayed
2026-01-01T06:00:00,29.35,27.1,61.8,65.0,0.049,6,3,0,0.0,10.0,30.9,0,0,0,2,29.35,27.6,3.3,29.2,0
2026-01-01T06:18:00,48.36,44.6,41.0,65.0,0.369,6,3,0,12.3,4.5,33.1,0,0,0,1,48.36,51.2,6.1,69.6,1
2026-01-01T06:36:00,32.62,30.1,58.1,65.0,0.106,6,3,0,0.0,10.0,20.9,0,0,0,2,32.62,31.4,3.8,32.1,0
2026-01-01T06:54:00,37.31,34.4,31.6,65.0,0.514,6,3,0,0.0,10.0,30.6,1,3,0,0,37.31,41.5,5.0,75.6,1
2026-01-01T07:12:00,40.11,37.0,53.9,65.0,0.171,7,3,0,0.0,10.0,31.7,0,0,1,2,40.11,39.5,4.7,41.7,0
2026-01-01T07:30:00,51.06,47.1,55.8,65.0,0.142,7,3,0,0.0,10.0,24.5,0,0,1,2,51.06,49.8,6.0,55.1,1
2026-01-01T07:48:00,30.52,28.2,60.8,65.0,0.065,7,3,0,0.0,10.0,21.6,0,0,1,0,30.52,28.9,3.5,31.3,0
2026-01-01T08:06:00,38.76,35.8,35.8,65.0,0.449,8,3,0,0.0,10.0,31.0,0,0,0,2,38.76,42.2,5.1,66.8,1
2026-01-01T08:24:00,8.89,10.7,18.0,50.0,0.64,8,3,0,0.0,10.0,17.6,1,3,1,1,8.89,13.4,2.0,27.5,1
2026-01-01T08:42:00,57.2,52.8,39.8,65.0,0.388,8,3,0,0.0,10.0,25.1,0,0,0,1,57.2,61.0,7.3,85.2,1
2026-01-01T09:00:00,44.34,40.9,40.1,65.0,0.383,9,3,0,0.0,10.0,20.8,0,0,1,1,44.34,47.2,5.7,66.3,1
2026-01-01T09:18:00,37.8,34.9,32.8,65.0,0.495,9,3,0,0.0,10.0,36.4,1,1,0,1,37.8,41.8,5.0,68.9,1
2026-01-01T09:36:00,47.64,44.0,38.9,65.0,0.402,9,3,0,3.2,3.6,36.7,0,0,1,2,47.64,51.1,6.1,73.2,1
2026-01-01T09:54:00,20.45,18.9,38.0,65.0,0.415,9,3,0,0.0,10.0,21.3,0,0,0,0,20.45,22.0,2.6,31.4,1
2026-01-01T10:12:00,23.51,21.7,38.8,65.0,0.403,10,3,0,0.0,10.0,21.8,0,0,0,1,23.51,25.2,3.0,34.1,1
2026-01-01T10:30:00,17.59,21.1,29.0,50.0,0.42,10,3,0,0.0,10.0,22.1,0,0,0,2,17.59,24.6,3.0,36.0,1
2026-01-01T10:48:00,47.69,44.0,40.0,65.0,0.385,10,3,0,0.0,10.0,24.3,0,0,1,1,47.69,50.8,6.1,65.3,1
2026-01-01T11:06:00,39.51,36.5,53.2,65.0,0.182,11,3,0,0.0,10.0,35.9,0,0,1,2,39.51,39.2,4.7,42.9,1
2026-01-01T11:24:00,64.06,59.1,58.8,65.0,0.095,11,3,0,0.0,10.0,30.1,0,0,1,1,64.06,61.3,7.4,64.3,0
2026-01-01T11:42:00,20.55,19.0,55.0,65.0,0.154,11,3,0,0.0,10.0,32.1,0,0,2,2,20.55,20.2,2.4,21.7,0
2026-01-01T12:00:00,37.51,34.6,59.8,65.0,0.08,12,3,0,0.0,10.0,34.0,0,0,1,1,37.51,35.7,4.3,36.1,0
2026-01-01T12:18:00,63.98,59.1,60.2,65.0,0.074,12,3,0,0.0,10.0,23.9,0,0,0,2,63.98,60.8,7.3,64.1,0
2026-01-01T12:36:00,47.92,44.2,60.4,65.0,0.071,12,3,0,0.0,10.0,25.3,0,0,2,0,47.92,45.5,5.5,49.2,0
2026-01-01T12:54:00,41.1,37.9,56.8,65.0,0.126,12,3,0,0.0,10.0,33.6,0,0,0,0,41.1,39.8,4.8,38.6,0
2026-01-01T13:12:00,18.03,21.6,38.9,50.0,0.222,13,3,0,2.4,2.5,35.1,0,0,0,1,18.03,23.5,2.8,33.5,1
2026-01-01T13:30:00,22.28,20.6,59.9,65.0,0.078,13,3,0,0.0,10.0,27.9,0,0,0,2,22.28,21.2,2.5,22.2,0
2026-01-01T13:48:00,44.77,41.3,58.7,65.0,0.097,13,3,0,0.0,10.0,24.8,0,0,1,1,44.77,42.9,5.1,41.3,0
2026-01-01T14:06:00,58.36,53.9,59.0,65.0,0.092,14,3,0,0.0,10.0,25.5,0,0,1,0,58.36,55.9,6.7,54.5,0
2026-01-01T14:24:00,12.29,14.7,41.6,50.0,0.168,14,3,0,0.0,10.0,23.3,0,0,0,2,12.29,15.7,2.0,14.9,0
2026-01-01T14:42:00,22.49,20.8,58.5,65.0,0.1,14,3,0,0.0,10.0,35.3,0,0,0,2,22.49,21.6,2.6,27.5,1
2026-01-01T15:00:00,22.6,20.9,42.7,65.0,0.343,15,3,0,0.0,10.0,19.9,1,2,1,0,22.6,23.8,2.9,28.9,1
2026-01-01T15:18:00,13.36,16.0,36.4,50.0,0.272,15,3,0,0.0,10.0,18.0,1,1,0,2,13.36,17.7,2.1,22.4,1
